id_modismo,modismo,significado,ejemplo,img_1,img_2,img_3,img_4
MULTI_GPT_0570,colorete,Cosmético usado para pintar los labios en forma de barra y protegido por un estuche generalmente cilíndrico y con tapa.,"Hemos fumado colillas de cigarrillos en los escupideros de los teatros, prefiriendo los de boquilla y los nimbados de colorete.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/colorete/literal_colorete.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/correrse/literal_correrse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/colorete/mixed_colorete.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/colorete/figurative_colorete.png
MULTI_GPT_0571,combinada,"Máquina recolectora de granos como sorgo, maíz y arroz.","La combinada posee mecanismos de corte y alimentación, trilla, serparación y limpieza del grano.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/combinada/mixed_combinada.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/cocina/mixed_cocina.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/combinada/figurative_combinada.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/combinada/literal_combinada.png
MULTI_GPT_0572,combo,conjunto de personas identificadas con algún propósito o tarea,en repetidas ocasiones uribe y su combo se opusieron tercamente a considerar la supresión de las jugosas exenciones,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/carro_fantasma/literal_carro_fantasma.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/combo/figurative_combo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/combo/literal_combo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/combo/mixed_combo.png
MULTI_GPT_0573,comedero,Establecimiento modesto para comer.,"Las guías gastronómicas de la ciudad suelen olvidar los comederos que también ofrecen recetas extranjeras, pero a precios más cómodos.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comedero/literal_comedero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/amanecer/mixed_amanecer.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comedero/figurative_comedero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comedero/mixed_comedero.png
MULTI_GPT_0574,comida,asunto que es objeto de comentarios despectivos,la boda de fulanita fue la comida principal de casi todos los asistentes a ese acto,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/aventar/figurative_aventar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comida/mixed_comida.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comida/literal_comida.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comida/figurative_comida.png
MULTI_GPT_0575,comida,Alimento que se toma al final de la tarde o al comienzo de la noche y que es la última de las tres comidas más importantes del día.,Entre el desayuno y el almuerzo no pasan más de seis horas y entre el almuerzo y la comida algo similar.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comida_1/figurative_comida_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/cumplido/literal_cumplido.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comida_1/mixed_comida_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comida_1/literal_comida_1.png
MULTI_GPT_0576,como arroz,En abundancia.,En las calles ahora se ven carros chinos como arroz. Es el resultado del interés de China por mejorar las relaciones comerciales con Colombia.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/como_arroz/figurative_como_arroz.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/paja/literal_paja.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/como_arroz/literal_como_arroz.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/como_arroz/mixed_como_arroz.png
MULTI_GPT_0577,como un pelo,"Referido a una persona, que está enojado, de mal genio.",Estaban como un pelo porque no lograron ganar el campeonato.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/santo/figurative_santo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/como_un_pelo/figurative_como_un_pelo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/como_un_pelo/mixed_como_un_pelo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/como_un_pelo/literal_como_un_pelo.png
MULTI_GPT_0578,componer,Volverse atractiva la apariencia física de una persona.,¡Cómo se compuso Anita después de haber sido una niñita tan escuálida!,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer/mixed_componer.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer/figurative_componer.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/bendici%C3%B3n/mixed_bendici%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer/literal_componer.png
MULTI_GPT_0579,componer,Despejarse un día nublado.,Nos llovió desde temprano pero después del desayuno se compuso el día y tan pronto escampó del todo pudimos salir.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/motorrat%C3%B3n/literal_motorrat%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer_1/mixed_componer_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer_1/literal_componer_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer_1/figurative_componer_1.png
MULTI_GPT_0580,componer,Reacomodar un hueso dislocado.,Este sobandero dice que de componer tobillos no puede vivir porque es un don de Dios.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/malpechoso/mixed_malpechoso.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer_2/literal_componer_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer_2/mixed_componer_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/componer_2/figurative_componer_2.png
MULTI_GPT_0581,comprimido,Papel escrito que se consulta de manera oculta durante una prueba o examen.,Lo más importante es tener entereza... lo triste es que tuve que ser sorprendida con un comprimido en mi calculadora para hacer esta reflexión.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comprimido/figurative_comprimido.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comprimido/literal_comprimido.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/comprimido/mixed_comprimido.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/suero/mixed_suero.png
MULTI_GPT_0582,compuesto,Porción pequeña de varias verduras para preparar una sopa o un guiso.,Véndame un compuesto que debo ir a preparar pronto el almuerzo.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/compuesto/figurative_compuesto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/compuesto/mixed_compuesto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/compuesto/literal_compuesto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/rebusque/mixed_rebusque.png
MULTI_GPT_0583,concertada,Empleada del servicio doméstico.,Ana está trabajando de concertada en la finca de Los Almendros.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/clavija/mixed_clavija.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concertada/literal_concertada.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concertada/mixed_concertada.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concertada/figurative_concertada.png
MULTI_GPT_0584,concha,"Descaro, desfachatez, falta de vergüenza.",Podrán decir que somos muy conchas… pero necesitamos un trabajo con todas las normas de presentación para copiarlas y no tener que leerlas del manual.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concha/figurative_concha.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concha/literal_concha.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/lamer/literal_lamer.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concha/mixed_concha.png
MULTI_GPT_0585,concha,Corteza de las frutas o de los árboles.,"En la concha de la piña se concentran componentes que tienen fibra, ideal para mejorar el funcionamiento del tracto intestinal.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concha_1/literal_concha_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concha_1/mixed_concha_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concha_1/figurative_concha_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/pasante/mixed_pasante.png
MULTI_GPT_0586,concreto,"En la construcción de obras civiles, material que resulta de la mezcla de cemento, piedras pequeñas, agua y arena, y que se solidifica después de ser vertido.","Avenida Santander, será pavimentada con concreto resistente a la salinidad.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/ligar_1/figurative_ligar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concreto/mixed_concreto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concreto/literal_concreto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/concreto/figurative_concreto.png
MULTI_GPT_0587,conectarse,Saludarse uniendo los puños.,Conéctate mi vale.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/culebrero/figurative_culebrero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conectarse/literal_conectarse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conectarse/mixed_conectarse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conectarse/figurative_conectarse.png
MULTI_GPT_0588,conejero,persona que acostumbra abandonar un establecimiento en donde ha recibido algún servicio sin pagar lo debido,lista de los individuos conejeros de billar,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/carro_fantasma/mixed_carro_fantasma.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejero/figurative_conejero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejero/literal_conejero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejero/mixed_conejero.png
MULTI_GPT_0589,conejo,Acumulación de grasa en los costados exteriores del muslo que forman bolsas de piel.,Este ejercicio te ayudará a bajar los conejos y fortalecer los glúteos.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejo/literal_conejo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejo/mixed_conejo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/trompear_1/literal_trompear_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejo/figurative_conejo.png
MULTI_GPT_0590,conejo,"engaño, incumplimiento de una promesa","qué explicación le darán los firmantes del ""pacto social"" a los trabajadores colombianos? un conejo más del gobierno y los empresarios al pueblo",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejo_1/mixed_conejo_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/abrirse_4/figurative_abrirse_4.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejo_1/figurative_conejo_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conejo_1/literal_conejo_1.png
MULTI_GPT_0591,congeniar,Vivir en una especie de período de prueba junto a una persona antes de tomar la decisión de casarse.,"José y Margarita se conocieron, congeniaron como un año, después se casaron para siempre.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/congeniar/figurative_congeniar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/congeniar/mixed_congeniar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/congeniar/literal_congeniar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/cabecera/figurative_cabecera.png
MULTI_GPT_0592,conjunto,Grupo de viviendas o edificios que comparten zonas comunales y tienen vigilancia privada.,Una de las alternativas de seguridad que más les interesa a los ciudadanos es comprar su vivienda en conjunto cerrado.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conjunto/figurative_conjunto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conjunto/literal_conjunto.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/manito/mixed_manito.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/conjunto/mixed_conjunto.png
MULTI_GPT_0593,cono,Helado en bolas servido en una base de galleta que tiene forma de cono.,"Y es que, si de por sí un helado con un cono convencional de galleta ya es ganador, ahora imagina que el cono hecho del mismo pan que se emplea para las donas tradicionales, recubierto además de azúcar y canela.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/cono/literal_cono.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/cono/mixed_cono.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copado/literal_copado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/cono/figurative_cono.png
MULTI_GPT_0594,contemplado,"Referido a un niño o una mascota, que es consentido en exceso.","Como era la más bonita fue la clásica niña contemplada, mas no malcriada, de una familia de músicos de clase media.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contemplado/figurative_contemplado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contemplado/mixed_contemplado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/chiste_1/figurative_chiste_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contemplado/literal_contemplado.png
MULTI_GPT_0595,contendor,"En un enfrentamiento deportivo o político, adversario o rival.",El médico comprendió entonces que el contendor de la partida [de ajedrez] final había sido ella y no el general Jerónimo Argote.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contendor/literal_contendor.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contendor/figurative_contendor.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contendor/mixed_contendor.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/perra_1/literal_perra_1.png
MULTI_GPT_0596,contener,Indica sorpresa o impresión repentina por algo.,¡Y esto qué contiene! había dejado la cocina límpia y ahora mira este reguero.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contener/literal_contener.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/neutro/literal_neutro.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contener/figurative_contener.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contener/mixed_contener.png
MULTI_GPT_0597,contentar,"Hacer las paces dos personas, luego de una pelea o disgusto.","Finalmente, luego de tantos años, Juan y Marina se contentaron y hablaron tranquilamente.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contentar/figurative_contentar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/a%C3%B1o_rural/figurative_a%C3%B1o_rural.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contentar/literal_contentar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/contentar/mixed_contentar.png
MULTI_GPT_0598,copado,"Referido a una persona, sobrecargada de trabajo.","Simplemente el comandante fue copado y muchas veces uno se enfrenta sin darse cuenta de una fuerza superior , dijo el general.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copado/mixed_copado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/pura/figurative_pura.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copado/figurative_copado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copado/literal_copado.png
MULTI_GPT_0599,copago,Dinero que se abona conjuntamente para saldar una deuda.,Las cuotas moderadoras y los copagos aumentaron de acuerdo con el incremento del salario mínimo.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copago/mixed_copago.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/danza_de_tres/literal_danza_de_tres.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copago/literal_copago.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copago/figurative_copago.png
MULTI_GPT_0600,copera,Mujer que trabaja en bares y sitios nocturnos sirviendo las copas de licor.,"En el bar, cientos de hombres se reúnen para recordar a sus coperas, mujeres que no sólo les servían una copa de trago, sino que les hacían compañía.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copera/literal_copera.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copera/figurative_copera.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/caja/literal_caja.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copera/mixed_copera.png
MULTI_GPT_0601,copetón,"Referido a una persona, que está ligeramente embriagada y animada.","Ayer estabas como copetona, riéndote a carcajadas por cualquier cosa.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copet%C3%B3n/literal_copet%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copet%C3%B3n/mixed_copet%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copet%C3%B3n/figurative_copet%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/mo%C3%B1ito/literal_mo%C3%B1ito.png
MULTI_GPT_0602,copia,Papel escrito que se consulta de manera oculta durante una prueba o examen.,Lo que hemos hecho es implementar una serie de estrategias para evitar que esto suceda. Hemos tenido una reducción drástica de la copia.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copia/literal_copia.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copia/mixed_copia.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/campero/figurative_campero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copia/figurative_copia.png
MULTI_GPT_0603,copiar,Creer en la palabra o la manera de obrar de alguien.,"Vienen las mujeres chismosas, no les copio / Hombres que hablan más de la cuenta, no les copio.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copiar/literal_copiar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copiar/figurative_copiar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copiar/mixed_copiar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/neutro/mixed_neutro.png
MULTI_GPT_0604,copito,"Palito de plástico cuyos extremos están forrados en algodón, que se usa para el aseo personal.",Usa el copito para limpiarle las orejas al bebé.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/vendaje/mixed_vendaje.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copito/figurative_copito.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copito/mixed_copito.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/copito/literal_copito.png
MULTI_GPT_0605,coquito,Táctica en algunos juegos de mirar furtivamente y esconderse para no ser visto.,"Cuando jugábamos a las escondidas, nos poníamos a hacer cocos para que no nos agarraran y, cuando el que contaba se alejaba, salíamos todos corriendo a tocar la pared.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/coquito/figurative_coquito.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/coquito/mixed_coquito.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/pisar/literal_pisar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GPT/IdiomsMultiImage/coquito/literal_coquito.png
