id_modismo,modismo,significado,ejemplo,img_1,img_2,img_3,img_4,
MULTI_GEMINI_0324,caché,"Darse importancia, por el modo de vestir, por gestos o palabras.","Pues sí, vivirán por aquí muchos intelectuales, muchos músicos y muchos poetas, de ésos que te gustan, y eso tú crees que te da caché.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%A9/figurative_cach%C3%A9.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%A9/mixed_cach%C3%A9.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%A9/literal_cach%C3%A9.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/blanco/mixed_blanco.png,
MULTI_GEMINI_0325,caché,"Referido a una cosa o actividad, ser muy bueno y de calidad.","Ella se quedó extasiada mirando la lamparita recientemente adquirida en una tienda de caché, de esas que cobraban por solo mirar.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/chorizo/literal_chorizo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%A9_1/figurative_cach%C3%A9_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%A9_1/literal_cach%C3%A9_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%A9_1/mixed_cach%C3%A9_1.png,
MULTI_GEMINI_0326,cachón,"Referido a un animal, de cuernos largos o grandes.","Este domingo la ruta es hacia Mulaló en el IV festival turístico, IV reinado del chivo cachón y III festival del mecato.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%B3n/mixed_cach%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%B3n/figurative_cach%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cach%C3%B3n/literal_cach%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/barriga/figurative_barriga.png,
MULTI_GEMINI_0327,cadena,"Fondo de ahorro sin reconocimiento jurídico en que cada aportante entrega periódicamente cuotas fijas de dinero, y cuyo recaudo se entrega por turnos y por sorteo a uno de los ahorradores.","Nadie sabe, ni se podrá saber, cuántas personas participan en las llamadas cadenas de ahorro privado y los fondos de amigos, que en algunas regiones llaman natilleras.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/rega%C3%B1ona/mixed_rega%C3%B1ona.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cadena/figurative_cadena.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cadena/literal_cadena.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cadena/mixed_cadena.png,
MULTI_GEMINI_0328,cadena,Grupo de personas que se reúne para orar en común y durante un determinado período de tiempo con intenciones o peticiones específicas a Dios.,"En esta sección cada miembro de la cadena de oración, puede añadir semanalmente de sábado a jueves sus peticiones personales para la oración del viernes.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/barrera/literal_barrera.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cadena_1/literal_cadena_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cadena_1/mixed_cadena_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cadena_1/figurative_cadena_1.png,
MULTI_GEMINI_0329,caer,"Desconectarse, suspenderse un sistema o programa que opera en red.","¿Sabían que el mes pasado parte de las transacciones de comercio exterior de todo el país estuvieron paradas porque, ‘se cayó el sistema’? ¿Cuánto nos costó ese fallo técnico?",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/velar/mixed_velar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer/figurative_caer.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer/mixed_caer.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer/literal_caer.png,
MULTI_GEMINI_0330,caer,Llegar a un sitio a cumplir una cita o a visitar a alguien.,"Sé que saldrás temprano, así que te caemos al apartamento para celebrar, y tomarnos un trago con la familia.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/costilla/figurative_costilla.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer_1/figurative_caer_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer_1/literal_caer_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer_1/mixed_caer_1.png,
MULTI_GEMINI_0331,caer a cama,Llegar la hora de dar a luz un bebé.,María cayó a cama y en menos de dos horas tuvo trillizos.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/leng%C3%BCilargo/literal_leng%C3%BCilargo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer_a_cama/figurative_caer_a_cama.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer_a_cama/mixed_caer_a_cama.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caer_a_cama/literal_caer_a_cama.png,
MULTI_GEMINI_0332,caerse,perder la estima de alguien a causa de un comportamiento supuestamente indebido,la secretaria se cayó con el jefe de personal,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caerse/mixed_caerse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caerse/literal_caerse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caerse/figurative_caerse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cadena_1/literal_cadena_1.png,
MULTI_GEMINI_0333,café,Creerse de una condición social más alta a la que pertenece.,"Un muchacho malcriado, sin formación desde su hogar que se le ha dado por dárselas de mucho café con leche, sacando a relucir el posible parentesco con un ex presidente de la república.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caf%C3%A9/figurative_caf%C3%A9.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/puya/literal_puya.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caf%C3%A9/mixed_caf%C3%A9.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caf%C3%A9/literal_caf%C3%A9.png,
MULTI_GEMINI_0334,café,"Establecimiento público equipado con computadores que se alquilan para consultar la red, y donde se puede tomar alguna bebida, especialmente café.","Nuestra rutina diaria es siempre la misma: ir al colegio, devolvernos a casa, a veces ir a la tienda o a un café Internet para hacer tareas y luego dormir.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caf%C3%A9_1/mixed_caf%C3%A9_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caf%C3%A9_1/figurative_caf%C3%A9_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cucarr%C3%B3n/figurative_cucarr%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caf%C3%A9_1/literal_caf%C3%A9_1.png,
MULTI_GEMINI_0335,cagada,Mala suerte.,"Recuperaron los papeles extraviados que era casi imposible, pero no alcanzaron a tomar el vuelo por la congestión vehicular: ¡que cagada!",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagada/literal_cagada.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagada/mixed_cagada.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/rabo_1/mixed_rabo_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagada/figurative_cagada.png,
MULTI_GEMINI_0336,cagada,"Error, contratiempo.","""La cagada fue mía"": esa fue la expresión del técnico de Llaneros al responder la pregunta sobre la táctica que les costó la derrota en el partido.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagada_1/literal_cagada_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/regarse/literal_regarse.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagada_1/figurative_cagada_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagada_1/mixed_cagada_1.png,
MULTI_GEMINI_0337,cagadero,"Lugar feo, desagradable.","Entiendo que a veces digo demasiadas groserías, pero la ciudad no es un gran vividero y está muy lejos de serlo. Es más bien un gran cagadero.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagadero/literal_cagadero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagadero/figurative_cagadero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/arrastrar/literal_arrastrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagadero/mixed_cagadero.png,
MULTI_GEMINI_0338,cagarse de la risa,Reírse desmedida y escandalosamente.,"Porque con esa imagen y con canciones en cuyas estrofas abundan frases ordinarias como 'cagarse de la risa', era para que Andrea despertara rechazo.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagarse_de_la_risa/mixed_cagarse_de_la_risa.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagarse_de_la_risa/figurative_cagarse_de_la_risa.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cagarse_de_la_risa/literal_cagarse_de_la_risa.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/salvar/figurative_salvar.png,
MULTI_GEMINI_0339,cagá,"Referido a un hombre, homosexual.","Dicen que ese cantante es cagá, lo vieron con su novio en un hotel.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/blanquiao/mixed_blanquiao.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%A1/mixed_cag%C3%A1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%A1/figurative_cag%C3%A1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%A1/literal_cag%C3%A1.png,
MULTI_GEMINI_0340,cagón,Niño pequeño.,"De los cagones que esa familia tenía, el más grande apenas tenía diez años y el menor dos añitos.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%B3n/literal_cag%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%B3n/figurative_cag%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/machetero/mixed_machetero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%B3n/mixed_cag%C3%B3n.png,
MULTI_GEMINI_0341,cagón,niño de muy corta edad,el cagoncito ya camina,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%B3n_1/literal_cag%C3%B3n_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%B3n_1/figurative_cag%C3%B3n_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cag%C3%B3n_1/mixed_cag%C3%B3n_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/topo/figurative_topo.png,
MULTI_GEMINI_0342,caja,Dentadura postiza.,"La cumpleañera sopló tan fuerte para apagar las velitas, que su caja de dientes no resistió tanta energía y salió disparada de su boca.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/rayito/mixed_rayito.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja/literal_caja.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja/figurative_caja.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja/mixed_caja.png,
MULTI_GEMINI_0343,caja,"Reírse, divertirse.",Bueno a los que les gusta el humor. A echar caja.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/producido/literal_producido.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja_1/literal_caja_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja_1/mixed_caja_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja_1/figurative_caja_1.png,
MULTI_GEMINI_0344,caja,"Suma de dinero, generalmente pequeña, que se usa para los gastos cotidianos del funcionamiento de una empresa o negocio.","Por ser un fondo en efectivo, la caja menor debe tener una serie de controles bastante rigurosos y específicos.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja_2/mixed_caja_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/pelo_duro/literal_pelo_duro.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja_2/figurative_caja_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caja_2/literal_caja_2.png,
MULTI_GEMINI_0345,cajonero,"Referido a una persona, que intenta quitarle el trabajo a alguien mediante intrigas y habladurías.",Muchos de sus colegas en alguna ocasión han hablado de los comportamientos desleales y 'cajoneros' de él y ratificados según lo acabé de entender.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cajonero/mixed_cajonero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cajonero/literal_cajonero.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/fachada/mixed_fachada.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cajonero/figurative_cajonero.png,
MULTI_GEMINI_0346,cajón,Ataúd.,"El hombre seguía buscando con desesperación, no sólo a su mujer, sino el cajón de su hijo. No estaba entre los féretros que habían vuelto a la brigada.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caj%C3%B3n/figurative_caj%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/dejar_1/figurative_dejar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caj%C3%B3n/mixed_caj%C3%B3n.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caj%C3%B3n/literal_caj%C3%B3n.png,
MULTI_GEMINI_0347,calabazo,Recipiente de uso doméstico hecho del fruto del totumo para guardar diferentes alimentos o cargar líquidos.,Ella me daba un calabazo lleno del delicioso elixir campesino que tapaba con una tusa y que yo paladeaba a solas.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cochera/mixed_cochera.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calabazo/literal_calabazo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calabazo/mixed_calabazo.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calabazo/figurative_calabazo.png,
MULTI_GEMINI_0348,calabazo,Cabeza de una persona.,"Estrenaba su primera cicla y, en el segundo intento, se cayó y se dio un golpe fuerte en el calabazo.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/untar_la_mano/mixed_untar_la_mano.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calabazo_1/literal_calabazo_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calabazo_1/mixed_calabazo_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calabazo_1/figurative_calabazo_1.png,
MULTI_GEMINI_0349,calado,"En repostería, cocción de una fruta en agua y azúcar con la que se obtiene un aspecto traslúcido de la pulpa de la fruta.","El plato navideño debe tener para los payaneses: variedad de dulces de leche, calados de frutas, hojaldres, rosquillas y buñuelos.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calado/literal_calado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/esquimal/mixed_esquimal.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calado/figurative_calado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calado/mixed_calado.png,
MULTI_GEMINI_0350,calado,"Pan de trigo de miga y corteza crujientes, aplanado y de forma circular.",En la taza donde se va a servir la changua el bogotano clásico sabe que se debe agregar el calado y la almojábana en trozos.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calado_1/figurative_calado_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calado_1/mixed_calado_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/cromos/mixed_cromos.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calado_1/literal_calado_1.png,
MULTI_GEMINI_0351,calar,Cocinar frutas en almíbar hasta que su pulpa quede traslúcida.,En la costa Caribe calan los plátanos con una gaseosa para darles un color y un sabor muy particular.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/descorche/figurative_descorche.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calar/figurative_calar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calar/literal_calar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calar/mixed_calar.png,
MULTI_GEMINI_0352,calavera,"Referido a una persona, rebelde, desobediente.","A este personaje que no encaja en el molde familiar se le conoce como: el hijo díscolo o 'calavera', el loco de la familia.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/lapo_1/mixed_lapo_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calavera/figurative_calavera.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calavera/literal_calavera.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calavera/mixed_calavera.png,
MULTI_GEMINI_0353,calceta,"Tallo herbáceo y sin hojas de la planta del plátano, se emplea para empaque artesanal de algunos alimentos y para hacer bolsas y otros objetos.","Abrió el señor juez una caja muy grande que estaba llena de legajos de papeles atados con cintas de calceta de plátano, y comenzó a buscar.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calibrar/literal_calibrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calceta/literal_calceta.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calceta/figurative_calceta.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calceta/mixed_calceta.png,
MULTI_GEMINI_0354,caldo de cuchas,Caldo típico hecho de pescado cocinado en agua con cebolla.,El caldo de cuchas tiene fama de tener gran poder alimenticio y cualidades reconstituyentes.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_cuchas/figurative_caldo_de_cuchas.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_cuchas/mixed_caldo_de_cuchas.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/vacuna/figurative_vacuna.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_cuchas/literal_caldo_de_cuchas.png,
MULTI_GEMINI_0355,caldo de mico,"Se usa para indicar que alguien está demasiado animado, alborotado.",Parece que al desayuno le dieran caldo de mico pues todo el día está incomodando a los demás y parece no darse cuenta.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/taquito/literal_taquito.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_mico/mixed_caldo_de_mico.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_mico/figurative_caldo_de_mico.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_mico/literal_caldo_de_mico.png,
MULTI_GEMINI_0356,caldo de ministro,"Sopa hecha con criadillas de toro, papa, huevo, leche y hogao.","Cuando no consiga el caldo de 'ministro', se lo servirán de una lata, acompañado de arepas, pataconas, limón y cilantro.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_ministro/figurative_caldo_de_ministro.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/enhuesado/figurative_enhuesado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_ministro/literal_caldo_de_ministro.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/caldo_de_ministro/mixed_caldo_de_ministro.png,
MULTI_GEMINI_0357,calentado,"Plato que se elabora con algunos alimentos del día anterior que se pican, se aderezan y se recalientan, especialmente para el desayuno.","El calentado tiene sus orígenes en la arriería paisa, cuando los viajeros de aquel entonces recalentaban a la hora de desayunar los restos de la comida del día anterior, que por lo general son fríjoles.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calentado/figurative_calentado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/moco/literal_moco.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calentado/mixed_calentado.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calentado/literal_calentado.png,
MULTI_GEMINI_0358,calibrar,Castigar o sancionar a alguien.,El jefe lo calibró porque no entregó el informe a tiempo.,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calibrar/mixed_calibrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calibrar/literal_calibrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calibrar/figurative_calibrar.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/fachada/literal_fachada.png,
MULTI_GEMINI_0359,calibrar,Comprobar o evaluar alguien la capacidad de otro.,"Al iniciar el debate tanto el Partido Liberal como el Conservador estaban indecisos, calibrando cuál era la mejor opción.",https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calibrar_1/mixed_calibrar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/batea_2/figurative_batea_2.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calibrar_1/literal_calibrar_1.png,https://raw.githubusercontent.com/MariaaPinzon/ImagesEvaluatingMLLM/refs/heads/main/GEMINI/calibrar_1/figurative_calibrar_1.png,
